2025-06-04 22:15:50.956 | INFO     |  -  | Waiting for application startup.
2025-06-04 22:15:50.970 | INFO     |  -  | Application startup complete.
2025-06-05 15:56:03.495 | INFO     |  -  | Shutting down
2025-06-05 15:56:03.625 | INFO     |  -  | Waiting for application shutdown.
2025-06-05 15:56:03.632 | INFO     |  -  | Application shutdown complete.
2025-06-05 15:56:06.421 | INFO     |  -  | Started server process [17902]
2025-06-05 15:56:06.422 | INFO     |  -  | Waiting for application startup.
2025-06-05 15:56:06.443 | INFO     |  -  | Application startup complete.
2025-06-05 22:59:54.163 | INFO     |  -  | Shutting down
2025-06-05 22:59:54.270 | INFO     |  -  | Waiting for application shutdown.
2025-06-05 22:59:57.686 | INFO     |  -  | Started server process [61038]
2025-06-05 22:59:57.686 | INFO     |  -  | Waiting for application startup.
2025-06-05 22:59:57.775 | INFO     |  -  | Application startup complete.
2025-06-05 23:00:06.567 | INFO     |  -  | Shutting down
2025-06-05 23:00:06.669 | INFO     |  -  | Waiting for application shutdown.
2025-06-05 23:00:08.758 | INFO     |  -  | Started server process [61083]
2025-06-05 23:00:08.758 | INFO     |  -  | Waiting for application startup.
2025-06-05 23:00:08.776 | INFO     |  -  | Application startup complete.
2025-06-05 23:00:44.428 | INFO     |  -  | Shutting down
2025-06-05 23:00:44.530 | INFO     |  -  | Waiting for application shutdown.
2025-06-05 23:00:46.829 | INFO     |  -  | Started server process [61177]
2025-06-05 23:00:46.829 | INFO     |  -  | Waiting for application startup.
2025-06-05 23:00:46.845 | INFO     |  -  | Application startup complete.
2025-06-05 23:01:02.107 | INFO     |  -  | Shutting down
2025-06-05 23:01:02.211 | INFO     |  -  | Waiting for application shutdown.
2025-06-05 23:01:02.213 | INFO     |  -  | Application shutdown complete.
2025-06-05 23:01:04.329 | INFO     |  -  | Started server process [61238]
2025-06-05 23:01:04.329 | INFO     |  -  | Waiting for application startup.
2025-06-05 23:01:04.346 | INFO     |  -  | Application startup complete.
2025-06-05 23:01:06.673 | INFO     |  -  | Shutting down
2025-06-05 23:01:06.773 | INFO     |  -  | Waiting for application shutdown.
2025-06-05 23:01:06.775 | INFO     |  -  | Application shutdown complete.
2025-06-05 23:01:08.792 | INFO     |  -  | Started server process [61254]
2025-06-05 23:01:08.792 | INFO     |  -  | Waiting for application startup.
2025-06-05 23:01:08.803 | INFO     |  -  | Application startup complete.
2025-06-05 23:01:36.015 | INFO     |  -  | Shutting down
2025-06-05 23:01:36.118 | INFO     |  -  | Waiting for application shutdown.
2025-06-05 23:01:36.119 | INFO     |  -  | Application shutdown complete.
2025-06-05 23:01:38.274 | INFO     |  -  | Started server process [61341]
2025-06-05 23:01:38.274 | INFO     |  -  | Waiting for application startup.
2025-06-05 23:01:38.291 | INFO     |  -  | Application startup complete.
2025-06-05 23:16:28.928 | INFO     |  -  | Started server process [64330]
2025-06-05 23:16:28.928 | INFO     |  -  | Waiting for application startup.
2025-06-05 23:16:28.954 | INFO     |  -  | Application startup complete.
2025-06-06 07:42:35.203 | INFO     |  -  | Started server process [78599]
2025-06-06 07:42:35.203 | INFO     |  -  | Waiting for application startup.
2025-06-06 07:42:35.232 | INFO     |  -  | Application startup complete.
2025-06-06 07:43:12.916 | INFO     |  -  | Started server process [79057]
2025-06-06 07:43:12.917 | INFO     |  -  | Waiting for application startup.
2025-06-06 07:43:12.944 | INFO     |  -  | Application startup complete.
2025-06-06 07:44:10.400 | INFO     |  -  | Shutting down
2025-06-06 07:44:10.502 | INFO     |  -  | Waiting for application shutdown.
2025-06-06 07:44:12.985 | INFO     |  -  | Started server process [79208]
2025-06-06 07:44:12.985 | INFO     |  -  | Waiting for application startup.
2025-06-06 07:44:13.002 | INFO     |  -  | Application startup complete.
2025-06-06 07:51:50.355 | INFO     |  -  | Shutting down
2025-06-06 07:51:50.459 | INFO     |  -  | Waiting for application shutdown.
2025-06-06 07:51:50.461 | INFO     |  -  | Application shutdown complete.
2025-06-06 07:51:52.925 | INFO     |  -  | Started server process [80240]
2025-06-06 07:51:52.925 | INFO     |  -  | Waiting for application startup.
2025-06-06 07:51:52.943 | INFO     |  -  | Application startup complete.
2025-06-06 07:56:26.108 | INFO     |  -  | Shutting down
2025-06-06 07:56:26.211 | INFO     |  -  | Waiting for application shutdown.
2025-06-06 07:56:26.212 | INFO     |  -  | Application shutdown complete.
2025-06-06 07:56:29.047 | INFO     |  -  | Started server process [80889]
2025-06-06 07:56:29.047 | INFO     |  -  | Waiting for application startup.
2025-06-06 07:56:29.074 | INFO     |  -  | Application startup complete.
2025-06-06 07:58:56.581 | INFO     |  -  | Shutting down
